ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH
P000,Day,0,Practice,Unexpected,Amber,Left,48.20,46.90,1.2946,0.8681,1070.5260,1.2946,58.06
P000,Day,0,Practice,Unexpected,Amber,Left,48.30,47.00,1.0253,0.8682,1073.1880,1.0253,58.02
P000,Day,0,Practice,Unexpected,Amber,Left,48.40,47.11,0.7903,0.8682,1075.8390,0.7903,57.97
P000,Day,0,Practice,Unexpected,Amber,Left,48.51,47.21,0.5835,0.8682,1078.5630,0.5835,57.93
P000,Day,0,Practice,Unexpected,Amber,Left,48.61,47.32,0.4104,0.8681,1081.2650,0.4104,57.89
P000,Day,0,Practice,Unexpected,Amber,Left,48.72,47.42,0.2670,0.8681,1083.9360,0.2670,57.86
P000,Day,0,Practice,Unexpected,Amber,Left,48.82,47.53,0.1444,0.8681,1086.6860,0.1444,57.83
P000,Day,0,Practice,Unexpected,Amber,Left,48.93,47.63,0.0429,0.8681,1089.4360,0.0429,57.81
P000,Day,0,Practice,Unexpected,Amber,Left,49.03,47.74,-0.0399,0.8681,1092.1410,-0.0399,57.86
P000,Day,0,Practice,Unexpected,Amber,Left,49.14,47.84,-0.1089,0.8681,1094.8550,-0.1089,57.91
P000,Day,0,Practice,Unexpected,Amber,Left,49.24,47.95,-0.1665,0.8681,1097.5730,-0.1665,57.90
P000,Day,0,Practice,Unexpected,Amber,Left,49.35,48.06,-0.2157,0.8681,1100.3480,-0.2157,57.90
P000,Day,0,Practice,Unexpected,Amber,Left,49.47,48.17,-0.2599,0.8681,1103.3440,-0.2599,57.98
P000,Day,0,Practice,Unexpected,Amber,Left,49.57,48.28,-0.2936,0.8681,1106.0590,-0.2936,58.09
P000,Day,0,Practice,Unexpected,Amber,Left,49.67,48.38,-0.3222,0.8681,1108.7400,-0.3222,58.11
P000,Day,0,Practice,Unexpected,Amber,Left,49.78,48.49,-0.3477,0.8681,1111.5150,-0.3477,58.10
P000,Day,0,Practice,Unexpected,Amber,Left,49.89,48.59,-0.3697,0.8681,1114.2460,-0.3697,58.09
P000,Day,0,Practice,Unexpected,Amber,Left,49.99,48.69,-0.3888,0.8681,1116.9430,-0.3888,58.08
P000,Day,0,Practice,Unexpected,Amber,Left,50.10,48.80,-0.4064,0.8681,1119.7160,-0.4064,58.09
P000,Day,0,Practice,Unexpected,Amber,Left,50.20,48.91,-0.4222,0.8681,1122.4860,-0.4222,58.21
P000,Day,0,Practice,Unexpected,Amber,Left,50.31,49.01,-0.4365,0.8681,1125.2210,-0.4365,58.25
P000,Day,0,Practice,Unexpected,Amber,Left,50.41,49.12,-0.4497,0.8681,1127.9580,-0.4497,58.25
P000,Day,0,Practice,Unexpected,Amber,Left,50.52,49.22,-0.4610,0.8681,1130.7150,-0.4610,58.24
