ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndTimeAbs,TrialEndTimeRel,SurveyQuestion,SurveyResponse,SurveyRT
123,Day,0,Practice,Expected,Red,Left,13.21,10.71,0.1285,0.8681,143.0786,0.1285,65.05,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,13.31,10.81,0.0942,0.8681,146.1429,0.0942,65.70,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,13.41,10.91,0.0652,0.8681,149.1535,0.0652,66.36,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,13.52,11.02,0.0344,0.8681,152.2833,0.0344,67.12,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,13.62,11.12,0.0079,0.8681,155.3781,0.0079,67.78,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,13.73,11.23,-0.0169,0.8681,158.5820,-0.0169,68.44,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,13.83,11.33,-0.0306,0.8681,161.8428,-0.0306,69.08,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,13.93,11.43,-0.0402,0.8681,165.0461,-0.0402,69.85,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,14.04,11.54,-0.0466,0.8681,168.3843,-0.0466,70.51,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,14.15,11.65,-0.0476,0.8681,171.7436,-0.0476,71.16,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
